Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
15.0,207396.69,172256.14, 20663.15,139614.73,903516.51
15.1, 229948.00, 268421.92,  21713.62, 152454.29,1063951.54
15.2, 253810.7, 348456.6,  23516.0, 163110.7,1314570.4
15.3, 295364.71, 441252.56,  24483.62, 171890.13,1730836.80
15.4, 354856.73, 562843.22,  25938.63, 183501.04,2244163.60
15.5, 422679.43, 683007.39,  27822.62, 195170.50,2550642.70
15.6, 519420.7, 821824.5,  28779.3, 207183.7,3011074.9
15.7, 643457.7, 969168.2,  30812.1, 216416.0,3336080.8
15.8, 767573.52,1074761.86,  44867.86, 226274.23,3688575.22
15.9, 945738.43,1170302.13,  46744.86, 235738.66,4117467.57
16.0,1116984.91,1293083.40,  49219.03, 244323.99,4660443.56
16.1,1334335.63,1640906.73,  52317.25, 254848.67,6329298.57
16.2,1529268.32,1687365.33,  56109.68, 264663.89,6974079.87
16.3,1721513.43,1727264.93,  58339.65, 278711.70,7633638.89
16.4,1970949.29,1750871.07,  60205.41, 289272.78,8282334.36
